case_id,session_id,event_type,actor,actor_type,title,description,details,status,priority,timestamp,created_at,updated_at
UW-2025-001,SUB-1752402235734-2uomqj08,system_event,System,system,Workflow Status Changed,Status changed from pending_data_extraction to running,"Previous Status: pending_data_extraction
New Status: running
Step: 1/6",completed,medium,2025-07-13T10:24:15.260Z,2025-07-13T10:24:15.261Z,2025-07-13T10:24:15.261Z
UW-2025-001,SUB-1752402235734-2uomqj08,agent_execution,Sanctions Check Agent,agent,Sanctions Check Agent Started,Agent processing started for sanctions,"Agent Type: sanctions
Status: started
Progress: 0%",completed,medium,2025-07-13T10:24:16.262Z,2025-07-13T10:24:16.262Z,2025-07-13T10:24:16.262Z
UW-2025-001,SUB-1752402235734-2uomqj08,agent_execution,Sanctions Check Agent,agent,Sanctions Check Agent Completed,Agent successfully completed processing,"Agent: Sanctions Check Agent
Status: completed
Progress: 100%
Confidence: 0.85
Output: {""agent_name"":""Sanctions Check Agent"",""status"":""completed"",""confidence"":0.85,""ai_response"":""Sanctions Check Agent completed processing with fallback logic (OpenRouter temporarily unavailable)"",""fallback_used"":true}",completed,medium,2025-07-13T10:24:20.310Z,2025-07-13T10:24:20.311Z,2025-07-13T10:24:20.311Z
UW-2025-001,SUB-1752402235734-2uomqj08,approval_request,System,system,Email Draft Approval Required,Human review required for sanctions review,"Request: Sanctions Check Review
Type: sanctions_review
Status: pending",completed,high,2025-07-13T10:24:20.312Z,2025-07-13T10:24:20.312Z,2025-07-13T10:24:20.312Z
UW-2025-001,SUB-1752402235734-2uomqj08,system_event,System,system,Workflow Status Changed,Status changed from running to pending_approval,"Previous Status: running
New Status: pending_approval
Step: 1/6",completed,medium,2025-07-13T10:24:20.313Z,2025-07-13T10:24:20.313Z,2025-07-13T10:24:20.313Z
UW-2025-001,SUB-1752400055185-9rg95fvh,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Started,Agent processing started for data_extraction,"Agent Type: data_extraction
Status: started
Progress: 0%",completed,medium,2025-07-13T11:45:03.362Z,2025-07-13T11:45:03.363Z,2025-07-13T11:45:03.363Z
UW-2025-001,SUB-1752400055185-9rg95fvh,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Completed,Agent successfully completed processing,"Agent: Data Extraction Agent
Status: completed
Progress: 100%
Confidence: 0.85
Output: {""agent_name"":""Data Extraction Agent"",""status"":""completed"",""confidence"":0.85,""ai_response"":""Data Extraction Agent completed processing with fallback logic (OpenRouter temporarily unavailable)"",""fallback_used"":true}",completed,medium,2025-07-13T11:45:07.399Z,2025-07-13T11:45:07.405Z,2025-07-13T11:45:07.405Z
UW-2025-001,SUB-1752400055185-9rg95fvh,agent_execution,Sanctions Check Agent,agent,Sanctions Check Agent Started,Agent processing started for sanctions_check,"Agent Type: sanctions_check
Status: started
Progress: 0%",completed,medium,2025-07-13T11:45:07.406Z,2025-07-13T11:45:07.407Z,2025-07-13T11:45:07.407Z
UW-2025-001,SUB-1752400055185-9rg95fvh,agent_execution,Sanctions Check Agent,agent,Sanctions Check Agent Completed,Agent successfully completed processing,"Agent: Sanctions Check Agent
Status: completed
Progress: 100%
Confidence: 0.85
Output: {""agent_name"":""Sanctions Check Agent"",""status"":""completed"",""confidence"":0.85,""ai_response"":""Sanctions Check Agent completed processing with fallback logic (OpenRouter temporarily unavailable)"",""fallback_used"":true}",completed,medium,2025-07-13T11:45:11.445Z,2025-07-13T11:45:11.447Z,2025-07-13T11:45:11.447Z
UW-2025-001,SUB-1752400055185-9rg95fvh,agent_execution,Risk Profile Agent,agent,Risk Profile Agent Started,Agent processing started for risk_profile,"Agent Type: risk_profile
Status: started
Progress: 0%",completed,medium,2025-07-13T11:45:11.448Z,2025-07-13T11:45:11.448Z,2025-07-13T11:45:11.448Z
UW-2025-001,SUB-1752400055185-9rg95fvh,agent_execution,Risk Profile Agent,agent,Risk Profile Agent Completed,Agent successfully completed processing,"Agent: Risk Profile Agent
Status: completed
Progress: 100%
Confidence: 0.85
Output: {""agent_name"":""Risk Profile Agent"",""status"":""completed"",""confidence"":0.85,""ai_response"":""Risk Profile Agent completed processing with fallback logic (OpenRouter temporarily unavailable)"",""fallback_used"":true}",completed,medium,2025-07-13T11:45:15.481Z,2025-07-13T11:45:15.482Z,2025-07-13T11:45:15.482Z
UW-2025-001,SUB-1752400055185-9rg95fvh,agent_execution,Premium Calculation Agent,agent,Premium Calculation Agent Started,Agent processing started for calculator,"Agent Type: calculator
Status: started
Progress: 0%",completed,medium,2025-07-13T11:45:15.483Z,2025-07-13T11:45:15.485Z,2025-07-13T11:45:15.485Z
UW-2025-001,SUB-1752400055185-9rg95fvh,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Started,Agent processing started for data_extraction,"Agent Type: data_extraction
Status: started
Progress: 0%",completed,medium,2025-07-13T11:45:18.898Z,2025-07-13T11:45:18.899Z,2025-07-13T11:45:18.899Z
UW-2025-001,SUB-1752400055185-9rg95fvh,agent_execution,Premium Calculation Agent,agent,Premium Calculation Agent Completed,Agent successfully completed processing,"Agent: Premium Calculation Agent
Status: completed
Progress: 100%
Confidence: 0.85
Output: {""agent_name"":""Premium Calculation Agent"",""status"":""completed"",""confidence"":0.85,""ai_response"":""Premium Calculation Agent completed processing with fallback logic (OpenRouter temporarily unavailable)"",""fallback_used"":true}",completed,medium,2025-07-13T11:45:19.512Z,2025-07-13T11:45:19.513Z,2025-07-13T11:45:19.513Z
UW-2025-001,SUB-1752400055185-9rg95fvh,agent_execution,Email Draft Agent,agent,Email Draft Agent Started,Agent processing started for drafter,"Agent Type: drafter
Status: started
Progress: 0%",completed,medium,2025-07-13T11:45:19.514Z,2025-07-13T11:45:19.515Z,2025-07-13T11:45:19.515Z
UW-2025-001,SUB-1752400055185-9rg95fvh,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Completed,Agent successfully completed processing,"Agent: Data Extraction Agent
Status: completed
Progress: 100%
Confidence: 0.85
Output: {""agent_name"":""Data Extraction Agent"",""status"":""completed"",""confidence"":0.85,""ai_response"":""Data Extraction Agent completed processing with fallback logic (OpenRouter temporarily unavailable)"",""fallback_used"":true}",completed,medium,2025-07-13T11:45:22.934Z,2025-07-13T11:45:22.935Z,2025-07-13T11:45:22.935Z
UW-2025-001,SUB-1752400055185-9rg95fvh,agent_execution,Sanctions Check Agent,agent,Sanctions Check Agent Started,Agent processing started for sanctions_check,"Agent Type: sanctions_check
Status: started
Progress: 0%",completed,medium,2025-07-13T11:45:22.936Z,2025-07-13T11:45:22.936Z,2025-07-13T11:45:22.936Z
UW-2025-001,SUB-1752400055185-9rg95fvh,agent_execution,Email Draft Agent,agent,Email Draft Agent Completed,Agent successfully completed processing,"Agent: Email Draft Agent
Status: completed
Progress: 100%
Confidence: 0.85
Output: {""agent_name"":""Email Draft Agent"",""status"":""completed"",""confidence"":0.85,""ai_response"":""Email Draft Agent completed processing with fallback logic (OpenRouter temporarily unavailable)"",""fallback_used"":true}",completed,medium,2025-07-13T11:45:23.547Z,2025-07-13T11:45:23.548Z,2025-07-13T11:45:23.548Z
UW-2025-001,SUB-1752400055185-9rg95fvh,approval_request,System,system,Email Draft Approval Required,Human review required for email draft_review,"Request: Email Draft Review
Type: email_draft_review
Status: pending",completed,high,2025-07-13T11:45:23.550Z,2025-07-13T11:45:23.550Z,2025-07-13T11:45:23.550Z
UW-2025-001,SUB-1752400055185-9rg95fvh,system_event,System,system,Workflow Status Changed,Status changed from running to pending_approval,"Previous Status: running
New Status: pending_approval
Step: 2/6",completed,medium,2025-07-13T11:45:23.551Z,2025-07-13T11:45:23.551Z,2025-07-13T11:45:23.551Z
UW-2025-001,SUB-1752400055185-9rg95fvh,agent_execution,Sanctions Check Agent,agent,Sanctions Check Agent Completed,Agent successfully completed processing,"Agent: Sanctions Check Agent
Status: completed
Progress: 100%
Confidence: 0.85
Output: {""agent_name"":""Sanctions Check Agent"",""status"":""completed"",""confidence"":0.85,""ai_response"":""Sanctions Check Agent completed processing with fallback logic (OpenRouter temporarily unavailable)"",""fallback_used"":true}",completed,medium,2025-07-13T11:45:26.979Z,2025-07-13T11:45:26.981Z,2025-07-13T11:45:26.981Z
UW-2025-001,SUB-1752407134053-nbd5vdoo,system_event,System,system,Workflow Started,Submission Processing - UW-2025-001 workflow initiated,"Workflow Type: submission
Case ID: UW-2025-001
Total Steps: 6",completed,medium,2025-07-13T11:45:34.053Z,2025-07-13T11:45:34.054Z,2025-07-13T11:45:34.054Z
UW-2025-001,SUB-1752407134053-nbd5vdoo,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Started,Agent processing started for extractor,"Agent Type: extractor
Status: started
Progress: 0%",completed,medium,2025-07-13T11:45:36.085Z,2025-07-13T11:45:36.085Z,2025-07-13T11:45:36.085Z
UW-2025-001,SUB-1752407533989-4wlc6hii,system_event,System,system,Workflow Started,Submission Processing - UW-2025-001 workflow initiated,"Workflow Type: submission
Case ID: UW-2025-001
Total Steps: 6",completed,medium,2025-07-13T11:52:13.989Z,2025-07-13T11:52:13.990Z,2025-07-13T11:52:13.990Z
UW-2025-001,SUB-1752407533989-4wlc6hii,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Started,Agent processing started for extractor,"Agent Type: extractor
Status: started
Progress: 0%",completed,medium,2025-07-13T11:52:16.012Z,2025-07-13T11:52:16.013Z,2025-07-13T11:52:16.013Z
UW-2025-001,SUB-1752407533989-4wlc6hii,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Completed,Agent successfully completed processing,"Agent: Data Extraction Agent
Status: completed
Progress: 100%
Confidence: 0.85
Output: {""agent_name"":""Data Extraction Agent"",""status"":""completed"",""confidence"":0.95}",completed,medium,2025-07-13T11:52:20.022Z,2025-07-13T11:52:20.024Z,2025-07-13T11:52:20.024Z
UW-2025-001,SUB-1752407533989-4wlc6hii,system_event,System,system,Workflow Status Changed,Status changed from running to pending_data_extraction,"Previous Status: running
New Status: pending_data_extraction
Step: 0/6",completed,medium,2025-07-13T11:52:20.025Z,2025-07-13T11:52:20.025Z,2025-07-13T11:52:20.025Z
UW-2025-001,SUB-1752407809927-dip1ckcc,system_event,System,system,Workflow Started,Submission Processing - UW-2025-001 workflow initiated,"Workflow Type: submission
Case ID: UW-2025-001
Total Steps: 6",completed,medium,2025-07-13T11:56:49.927Z,2025-07-13T11:56:49.927Z,2025-07-13T11:56:49.927Z
UW-2025-001,SUB-1752407809927-dip1ckcc,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Started,Agent processing started for extractor,"Agent Type: extractor
Status: started
Progress: 0%",completed,medium,2025-07-13T11:56:51.959Z,2025-07-13T11:56:51.959Z,2025-07-13T11:56:51.959Z
UW-2025-001,SUB-1752407809927-dip1ckcc,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Completed,Agent successfully completed processing,"Agent: Data Extraction Agent
Status: completed
Progress: 100%
Confidence: 0.85
Output: {""agent_name"":""Data Extraction Agent"",""status"":""completed"",""confidence"":0.95}",completed,medium,2025-07-13T11:56:55.967Z,2025-07-13T11:56:55.968Z,2025-07-13T11:56:55.968Z
UW-2025-001,SUB-1752407809927-dip1ckcc,system_event,System,system,Workflow Status Changed,Status changed from running to pending_data_extraction,"Previous Status: running
New Status: pending_data_extraction
Step: 0/6",completed,medium,2025-07-13T11:56:55.969Z,2025-07-13T11:56:55.970Z,2025-07-13T11:56:55.970Z
UW-2025-001,SUB-1752411289158-0siw0h6k,system_event,System,system,Workflow Started,Submission Processing - UW-2025-001 workflow initiated,"Workflow Type: submission
Case ID: UW-2025-001
Total Steps: 6",completed,medium,2025-07-13T12:54:49.158Z,2025-07-13T12:54:49.159Z,2025-07-13T12:54:49.159Z
UW-2025-001,SUB-1752411289158-0siw0h6k,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Started,Agent processing started for extractor,"Agent Type: extractor
Status: started
Progress: 0%",completed,medium,2025-07-13T12:54:51.178Z,2025-07-13T12:54:51.179Z,2025-07-13T12:54:51.179Z
UW-2025-001,SUB-1752411289158-0siw0h6k,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Completed,Agent successfully completed processing,"Agent: Data Extraction Agent
Status: completed
Progress: 100%
Confidence: 0.85
Output: {""agent_name"":""Data Extraction Agent"",""status"":""completed"",""confidence"":0.95}",completed,medium,2025-07-13T12:54:55.186Z,2025-07-13T12:54:55.187Z,2025-07-13T12:54:55.187Z
UW-2025-001,SUB-1752411289158-0siw0h6k,system_event,System,system,Workflow Status Changed,Status changed from running to pending_data_extraction,"Previous Status: running
New Status: pending_data_extraction
Step: 0/6",completed,medium,2025-07-13T12:54:55.188Z,2025-07-13T12:54:55.188Z,2025-07-13T12:54:55.188Z
UW-2025-001,SUB-1752411311758-0b8azl7l,system_event,System,system,Workflow Started,Submission Processing - UW-2025-001 workflow initiated,"Workflow Type: submission
Case ID: UW-2025-001
Total Steps: 6",completed,medium,2025-07-13T12:55:11.758Z,2025-07-13T12:55:11.759Z,2025-07-13T12:55:11.759Z
UW-2025-001,SUB-1752411311758-0b8azl7l,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Started,Agent processing started for extractor,"Agent Type: extractor
Status: started
Progress: 0%",completed,medium,2025-07-13T12:55:13.778Z,2025-07-13T12:55:13.779Z,2025-07-13T12:55:13.779Z
UW-2025-001,SUB-1752411311758-0b8azl7l,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Completed,Agent successfully completed processing,"Agent: Data Extraction Agent
Status: completed
Progress: 100%
Confidence: 0.85
Output: {""agent_name"":""Data Extraction Agent"",""status"":""completed"",""confidence"":0.95}",completed,medium,2025-07-13T12:55:17.787Z,2025-07-13T12:55:17.787Z,2025-07-13T12:55:17.787Z
UW-2025-001,SUB-1752411311758-0b8azl7l,system_event,System,system,Workflow Status Changed,Status changed from running to pending_data_extraction,"Previous Status: running
New Status: pending_data_extraction
Step: 0/6",completed,medium,2025-07-13T12:55:17.788Z,2025-07-13T12:55:17.788Z,2025-07-13T12:55:17.788Z
UW-2025-001,SUB-1752412594775-imhjwrsu,system_event,System,system,Workflow Started,Submission Processing - UW-2025-001 workflow initiated,"Workflow Type: submission
Case ID: UW-2025-001
Total Steps: 6",completed,medium,2025-07-13T13:16:34.775Z,2025-07-13T13:16:34.776Z,2025-07-13T13:16:34.776Z
UW-2025-001,SUB-1752412594775-imhjwrsu,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Started,Agent processing started for extractor,"Agent Type: extractor
Status: started
Progress: 0%",completed,medium,2025-07-13T13:16:36.812Z,2025-07-13T13:16:36.814Z,2025-07-13T13:16:36.814Z
UW-2025-001,SUB-1752412594775-imhjwrsu,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Completed,Agent successfully completed processing,"Agent: Data Extraction Agent
Status: completed
Progress: 100%
Confidence: 0.85
Output: {""agent_name"":""Data Extraction Agent"",""status"":""completed"",""confidence"":0.95}",completed,medium,2025-07-13T13:16:40.825Z,2025-07-13T13:16:40.842Z,2025-07-13T13:16:40.842Z
UW-2025-001,SUB-1752412594775-imhjwrsu,system_event,System,system,Workflow Status Changed,Status changed from running to pending_data_extraction,"Previous Status: running
New Status: pending_data_extraction
Step: 0/6",completed,medium,2025-07-13T13:16:40.843Z,2025-07-13T13:16:40.843Z,2025-07-13T13:16:40.843Z
UW-2025-001,SUB-1752412676141-uovo0035,system_event,System,system,Workflow Started,Test Flow End-to-End - UW-2025-001 workflow initiated,"Workflow Type: submission
Case ID: UW-2025-001
Total Steps: 6",completed,medium,2025-07-13T13:17:56.141Z,2025-07-13T13:17:56.142Z,2025-07-13T13:17:56.142Z
UW-2025-001,SUB-1752412676141-uovo0035,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Started,Agent processing started for extractor,"Agent Type: extractor
Status: started
Progress: 0%",completed,medium,2025-07-13T13:17:58.207Z,2025-07-13T13:17:58.208Z,2025-07-13T13:17:58.208Z
UW-2025-001,SUB-1752412676141-uovo0035,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Completed,Agent successfully completed processing,"Agent: Data Extraction Agent
Status: completed
Progress: 100%
Confidence: 0.85
Output: {""agent_name"":""Data Extraction Agent"",""status"":""completed"",""confidence"":0.95}",completed,medium,2025-07-13T13:18:02.221Z,2025-07-13T13:18:02.223Z,2025-07-13T13:18:02.223Z
UW-2025-001,SUB-1752412676141-uovo0035,system_event,System,system,Workflow Status Changed,Status changed from running to pending_data_extraction,"Previous Status: running
New Status: pending_data_extraction
Step: 0/6",completed,medium,2025-07-13T13:18:02.224Z,2025-07-13T13:18:02.225Z,2025-07-13T13:18:02.225Z
UW-2025-001,SUB-1752412676141-uovo0035,system_event,System,system,Workflow Status Changed,Status changed from pending_data_extraction to running,"Previous Status: pending_data_extraction
New Status: running
Step: 1/6",completed,medium,2025-07-13T13:18:17.487Z,2025-07-13T13:18:17.488Z,2025-07-13T13:18:17.488Z
UW-2025-001,SUB-1752412676141-uovo0035,agent_execution,Sanctions Check Agent,agent,Sanctions Check Agent Started,Agent processing started for sanctions,"Agent Type: sanctions
Status: started
Progress: 0%",completed,medium,2025-07-13T13:18:18.491Z,2025-07-13T13:18:18.492Z,2025-07-13T13:18:18.492Z
UW-2025-001,SUB-1752412676141-uovo0035,agent_execution,Sanctions Check Agent,agent,Sanctions Check Agent Completed,Agent successfully completed processing,"Agent: Sanctions Check Agent
Status: completed
Progress: 100%
Confidence: 0.85
Output: {""agent_name"":""Sanctions Check Agent"",""status"":""completed"",""confidence"":0.85,""ai_response"":""Sanctions Check Agent completed processing with fallback logic (OpenRouter temporarily unavailable)"",""fallback_used"":true}",completed,medium,2025-07-13T13:18:22.564Z,2025-07-13T13:18:22.574Z,2025-07-13T13:18:22.574Z
UW-2025-001,SUB-1752412676141-uovo0035,approval_request,System,system,Email Draft Approval Required,Human review required for sanctions review,"Request: Sanctions Check Review
Type: sanctions_review
Status: pending",completed,high,2025-07-13T13:18:22.576Z,2025-07-13T13:18:22.576Z,2025-07-13T13:18:22.576Z
UW-2025-001,SUB-1752412676141-uovo0035,system_event,System,system,Workflow Status Changed,Status changed from running to pending_approval,"Previous Status: running
New Status: pending_approval
Step: 1/6",completed,medium,2025-07-13T13:18:22.583Z,2025-07-13T13:18:22.583Z,2025-07-13T13:18:22.583Z
UW-2025-001,SUB-1752412784471-1epbd5co,system_event,System,system,Workflow Started,Submission Processing - UW-2025-001 workflow initiated,"Workflow Type: submission
Case ID: UW-2025-001
Total Steps: 6",completed,medium,2025-07-13T13:19:44.471Z,2025-07-13T13:19:44.472Z,2025-07-13T13:19:44.472Z
UW-2025-001,SUB-1752412784471-1epbd5co,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Started,Agent processing started for extractor,"Agent Type: extractor
Status: started
Progress: 0%",completed,medium,2025-07-13T13:19:46.535Z,2025-07-13T13:19:46.536Z,2025-07-13T13:19:46.536Z
UW-2025-001,SUB-1752412784471-1epbd5co,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Completed,Agent successfully completed processing,"Agent: Data Extraction Agent
Status: completed
Progress: 100%
Confidence: 0.85
Output: {""agent_name"":""Data Extraction Agent"",""status"":""completed"",""confidence"":0.95}",completed,medium,2025-07-13T13:19:50.545Z,2025-07-13T13:19:50.547Z,2025-07-13T13:19:50.547Z
UW-2025-001,SUB-1752412784471-1epbd5co,system_event,System,system,Workflow Status Changed,Status changed from running to pending_data_extraction,"Previous Status: running
New Status: pending_data_extraction
Step: 0/6",completed,medium,2025-07-13T13:19:50.548Z,2025-07-13T13:19:50.548Z,2025-07-13T13:19:50.548Z
UW-2025-001,SUB-1752412784471-1epbd5co,system_event,System,system,Workflow Status Changed,Status changed from pending_data_extraction to running,"Previous Status: pending_data_extraction
New Status: running
Step: 1/6",completed,medium,2025-07-13T13:20:00.157Z,2025-07-13T13:20:00.158Z,2025-07-13T13:20:00.158Z
UW-2025-001,SUB-1752412784471-1epbd5co,agent_execution,Sanctions Check Agent,agent,Sanctions Check Agent Started,Agent processing started for sanctions,"Agent Type: sanctions
Status: started
Progress: 0%",completed,medium,2025-07-13T13:20:01.159Z,2025-07-13T13:20:01.160Z,2025-07-13T13:20:01.160Z
UW-2025-001,SUB-1752412784471-1epbd5co,agent_execution,Sanctions Check Agent,agent,Sanctions Check Agent Completed,Agent successfully completed processing,"Agent: Sanctions Check Agent
Status: completed
Progress: 100%
Confidence: 0.85
Output: {""agent_name"":""Sanctions Check Agent"",""status"":""completed"",""confidence"":0.85,""ai_response"":""Sanctions Check Agent completed processing with fallback logic (OpenRouter temporarily unavailable)"",""fallback_used"":true}",completed,medium,2025-07-13T13:20:05.226Z,2025-07-13T13:20:05.228Z,2025-07-13T13:20:05.228Z
UW-2025-001,SUB-1752412784471-1epbd5co,approval_request,System,system,Email Draft Approval Required,Human review required for sanctions review,"Request: Sanctions Check Review
Type: sanctions_review
Status: pending",completed,high,2025-07-13T13:20:05.229Z,2025-07-13T13:20:05.229Z,2025-07-13T13:20:05.229Z
UW-2025-001,SUB-1752412784471-1epbd5co,system_event,System,system,Workflow Status Changed,Status changed from running to pending_approval,"Previous Status: running
New Status: pending_approval
Step: 1/6",completed,medium,2025-07-13T13:20:05.246Z,2025-07-13T13:20:05.247Z,2025-07-13T13:20:05.247Z
UW-2025-001,SUB-1752417409149-gov3b851,system_event,System,system,Workflow Started,Submission Processing - UW-2025-001 workflow initiated,"Workflow Type: submission
Case ID: UW-2025-001
Total Steps: 6",completed,medium,2025-07-13T14:36:49.149Z,2025-07-13T14:36:49.155Z,2025-07-13T14:36:49.155Z
UW-2025-001,SUB-1752417409149-gov3b851,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Started,Agent processing started for extractor,"Agent Type: extractor
Status: started
Progress: 0%",completed,medium,2025-07-13T14:36:51.173Z,2025-07-13T14:36:51.173Z,2025-07-13T14:36:51.173Z
UW-2025-001,SUB-1752417409149-gov3b851,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Completed,Agent successfully completed processing,"Agent: Data Extraction Agent
Status: completed
Progress: 100%
Confidence: 0.85
Output: {""agent_name"":""Data Extraction Agent"",""status"":""completed"",""confidence"":0.95}",completed,medium,2025-07-13T14:36:55.185Z,2025-07-13T14:36:55.186Z,2025-07-13T14:36:55.186Z
UW-2025-001,SUB-1752417409149-gov3b851,system_event,System,system,Workflow Status Changed,Status changed from running to pending_data_extraction,"Previous Status: running
New Status: pending_data_extraction
Step: 0/6",completed,medium,2025-07-13T14:36:55.187Z,2025-07-13T14:36:55.187Z,2025-07-13T14:36:55.187Z
UW-2025-001,SUB-1752417409149-gov3b851,system_event,System,system,Workflow Status Changed,Status changed from pending_data_extraction to running,"Previous Status: pending_data_extraction
New Status: running
Step: 1/6",completed,medium,2025-07-13T14:37:33.942Z,2025-07-13T14:37:33.942Z,2025-07-13T14:37:33.942Z
UW-2025-001,SUB-1752417409149-gov3b851,agent_execution,Sanctions Check Agent,agent,Sanctions Check Agent Started,Agent processing started for sanctions,"Agent Type: sanctions
Status: started
Progress: 0%",completed,medium,2025-07-13T14:37:34.943Z,2025-07-13T14:37:34.945Z,2025-07-13T14:37:34.945Z
UW-2025-001,SUB-1752417409149-gov3b851,agent_execution,Sanctions Check Agent,agent,Sanctions Check Agent Completed,Agent successfully completed processing,"Agent: Sanctions Check Agent
Status: completed
Progress: 100%
Confidence: 0.85
Output: {""agent_name"":""Sanctions Check Agent"",""status"":""completed"",""confidence"":0.85,""ai_response"":""Sanctions Check Agent completed processing with fallback logic (OpenRouter temporarily unavailable)"",""fallback_used"":true}",completed,medium,2025-07-13T14:37:38.990Z,2025-07-13T14:37:38.991Z,2025-07-13T14:37:38.991Z
UW-2025-001,SUB-1752417409149-gov3b851,approval_request,System,system,Email Draft Approval Required,Human review required for sanctions review,"Request: Sanctions Check Review
Type: sanctions_review
Status: pending",completed,high,2025-07-13T14:37:38.992Z,2025-07-13T14:37:38.992Z,2025-07-13T14:37:38.992Z
UW-2025-001,SUB-1752417409149-gov3b851,system_event,System,system,Workflow Status Changed,Status changed from running to pending_approval,"Previous Status: running
New Status: pending_approval
Step: 1/6",completed,medium,2025-07-13T14:37:39.001Z,2025-07-13T14:37:39.002Z,2025-07-13T14:37:39.002Z
