session_id,title,workflow_type,status,current_step,total_steps,case_id,created_at,updated_at,extracted_data,config
UND-1752426334065-csl4tloi,Test Timeline Events,underwriting,pending_data_extraction,0,6,SLP-2025-001,2025-07-13T17:05:34.065Z,2025-07-13T17:06:09.244Z,{},{}
SUB-1752426807835-ijepwmi1,Test New Submission Workflow,submission,pending_data_extraction,0,6,UW-2025-001,2025-07-13T17:13:27.835Z,2025-07-13T17:13:39.969Z,{},{}
SUB-1752426988615-xdaa70qk,Submission Processing - UW-2025-001,submission,pending_data_extraction,0,6,UW-2025-001,2025-07-13T17:16:28.615Z,2025-07-13T17:16:40.668Z,{},{}
SUB-1752427162994-545in2ai,Test Step Tracking - UW-2025-001,submission,completed,13,6,UW-2025-001,2025-07-13T17:19:22.994Z,2025-07-14T03:11:45.580Z,{},{}
SLI-1752462212385-x26pr8om,Lloyd's Slip Processing - SLP-2025-001,slip,completed,11,11,SLP-2025-001,2025-07-14T03:03:32.385Z,2025-07-14T03:07:58.472Z,"{""slipId"":""SLP-2025-001"",""token"":""slip_token_001"",""slipReference"":""LMX/2025/001"",""lloydSyndicate"":""Syndicate 623"",""leadUnderwriter"":""James Wilson"",""underwriterEmail"":""cargo@marine.com"",""riskCategory"":""Marine Cargo"",""policyInceptionDate"":""01/04/2025"",""policyExpiryDate"":""31/03/2026"",""coverageTerritory"":""Worldwide"",""currency"":""USD"",""policyLimits"":""$50,000,000"",""deductible"":""$25,000"",""premiumAmount"":""$485,000"",""brokerageRate"":""15%"",""totalSumInsured"":""$50,000,000"",""riskLocation"":""International Shipping Routes"",""businessDescription"":""Marine cargo insurance for international shipping operations"",""yearsTrading"":""25"",""annualTurnover"":""$125,000,000"",""numberOfEmployees"":""450"",""previousClaims"":""2 claims in last 5 years - weather related"",""riskImprovements"":""Enhanced GPS tracking, improved packaging protocols"",""securityMeasures"":""24/7 monitoring, secure warehousing facilities"",""complianceCertifications"":""ISO 9001, IMO compliance"",""financialRating"":""A+ (Standard & Poor's)"",""reinsuranceArrangements"":""75% quota share with Munich Re"",""exclusions"":""War risks, nuclear perils, cyber attacks"",""warranties"":""Proper packaging, approved routes only"",""conditions"":""Monthly reporting, claims handling procedures"",""emailSubject"":""Marine Cargo Slip - International Shipping Routes""}",{}
SUB-1752462529770-lusyublp,Test Progress Animation,submission,pending_data_extraction,1,13,UW-2025-999,2025-07-14T03:08:49.771Z,2025-07-14T03:09:01.848Z,{},{}
SUB-1752462887008-qgk3ec11,Test Step Tracking - UW-2025-001,submission,completed,13,13,UW-2025-001,2025-07-14T03:14:47.008Z,2025-07-14T03:16:25.660Z,{},{}
SUB-1752463331370-823rt67c,Test Step Tracking - UW-2025-001,submission,completed,13,13,UW-2025-001,2025-07-14T03:22:11.371Z,2025-07-14T03:25:05.464Z,{},{}
SUB-1752463510133-4kg94e6g,Test Progress Animation,submission,completed,7,7,UW-2025-002,2025-07-14T03:25:10.134Z,2025-07-14T03:26:51.953Z,{},{}
SUB-1752463760849-vm1o092o,Test Email Draft Fix,submission,running,0,7,UW-2025-009,2025-07-14T03:29:20.849Z,2025-07-14T03:29:20.849Z,{},{}
SUB-1752463829146-exznbf38,Test Step Tracking - UW-2025-001,submission,pending_approval,6,7,UW-2025-001,2025-07-14T03:30:29.146Z,2025-07-14T03:31:16.957Z,{},{}
SUB-1752469176466-5m79z1ej,Email Test Workflow,submission,pending_data_extraction,1,7,UW-2025-EMAIL-TEST,2025-07-14T04:59:36.466Z,2025-07-14T04:59:43.577Z,{},{}
SLI-1752473254478-n0xpkfqb,Slip Processing - SLP-2025-011,slip,pending_data_extraction,1,6,SLP-2025-011,2025-07-14T06:07:34.478Z,2025-07-14T06:07:41.614Z,{},{}
SLI-1752818046026-ijnuf66k,Lloyd's Slip Processing - SLP-2025-001,slip,completed,6,6,SLP-2025-001,2025-07-18T05:54:06.027Z,2025-07-18T05:55:26.674Z,"{""slipId"":""SLP-2025-001"",""token"":""slip_token_001"",""slipReference"":""LMX/2025/001"",""lloydSyndicate"":""Syndicate 623"",""leadUnderwriter"":""James Wilson"",""underwriterEmail"":""cargo@marine.com"",""riskCategory"":""Marine Cargo"",""policyInceptionDate"":""01/04/2025"",""policyExpiryDate"":""31/03/2026"",""coverageTerritory"":""Worldwide"",""currency"":""USD"",""policyLimits"":""$50,000,000"",""deductible"":""$25,000"",""premiumAmount"":""$485,000"",""brokerageRate"":""15%"",""totalSumInsured"":""$50,000,000"",""riskLocation"":""International Shipping Routes"",""businessDescription"":""Marine cargo insurance for international shipping operations"",""yearsTrading"":""25"",""annualTurnover"":""$125,000,000"",""numberOfEmployees"":""450"",""previousClaims"":""2 claims in last 5 years - weather related"",""riskImprovements"":""Enhanced GPS tracking, improved packaging protocols"",""securityMeasures"":""24/7 monitoring, secure warehousing facilities"",""complianceCertifications"":""ISO 9001, IMO compliance"",""financialRating"":""A+ (Standard & Poor's)"",""reinsuranceArrangements"":""75% quota share with Munich Re"",""exclusions"":""War risks, nuclear perils, cyber attacks"",""warranties"":""Proper packaging, approved routes only"",""conditions"":""Monthly reporting, claims handling procedures"",""emailSubject"":""Marine Cargo Slip - International Shipping Routes""}",{}
SLI-1752818512514-duom9prm,Lloyd's Slip Processing - SLP-2025-001,slip,completed,6,6,SLP-2025-001,2025-07-18T06:01:52.514Z,2025-07-21T12:23:09.169Z,"{""slipId"":""SLP-2025-001"",""token"":""slip_token_001"",""slipReference"":""LMX/2025/001"",""lloydSyndicate"":""Syndicate 623"",""leadUnderwriter"":""James Wilson"",""underwriterEmail"":""cargo@marine.com"",""riskCategory"":""Marine Cargo"",""policyInceptionDate"":""01/04/2025"",""policyExpiryDate"":""31/03/2026"",""coverageTerritory"":""Worldwide"",""currency"":""USD"",""policyLimits"":""$50,000,000"",""deductible"":""$25,000"",""premiumAmount"":""$485,000"",""brokerageRate"":""15%"",""totalSumInsured"":""$50,000,000"",""riskLocation"":""International Shipping Routes"",""businessDescription"":""Marine cargo insurance for international shipping operations"",""yearsTrading"":""25"",""annualTurnover"":""$125,000,000"",""numberOfEmployees"":""450"",""previousClaims"":""2 claims in last 5 years - weather related"",""riskImprovements"":""Enhanced GPS tracking, improved packaging protocols"",""securityMeasures"":""24/7 monitoring, secure warehousing facilities"",""complianceCertifications"":""ISO 9001, IMO compliance"",""financialRating"":""A+ (Standard & Poor's)"",""reinsuranceArrangements"":""75% quota share with Munich Re"",""exclusions"":""War risks, nuclear perils, cyber attacks"",""warranties"":""Proper packaging, approved routes only"",""conditions"":""Monthly reporting, claims handling procedures"",""emailSubject"":""Marine Cargo Slip - International Shipping Routes""}",{}
SLI-1753100871019-akbtp20i,Lloyd's Slip Processing - SLP-2025-001,slip,completed,6,6,SLP-2025-001,2025-07-21T12:27:51.019Z,2025-07-21T12:41:54.033Z,"{""slipId"":""SLP-2025-001"",""token"":""slip_token_001"",""slipReference"":""LMX/2025/001"",""lloydSyndicate"":""Syndicate 623"",""leadUnderwriter"":""James Wilson"",""underwriterEmail"":""cargo@marine.com"",""riskCategory"":""Marine Cargo"",""policyInceptionDate"":""01/04/2025"",""policyExpiryDate"":""31/03/2026"",""coverageTerritory"":""Worldwide"",""currency"":""USD"",""policyLimits"":""$50,000,000"",""deductible"":""$25,000"",""premiumAmount"":""$485,000"",""brokerageRate"":""15%"",""totalSumInsured"":""$50,000,000"",""riskLocation"":""International Shipping Routes"",""businessDescription"":""Marine cargo insurance for international shipping operations"",""yearsTrading"":""25"",""annualTurnover"":""$125,000,000"",""numberOfEmployees"":""450"",""previousClaims"":""2 claims in last 5 years - weather related"",""riskImprovements"":""Enhanced GPS tracking, improved packaging protocols"",""securityMeasures"":""24/7 monitoring, secure warehousing facilities"",""complianceCertifications"":""ISO 9001, IMO compliance"",""financialRating"":""A+ (Standard & Poor's)"",""reinsuranceArrangements"":""75% quota share with Munich Re"",""exclusions"":""War risks, nuclear perils, cyber attacks"",""warranties"":""Proper packaging, approved routes only"",""conditions"":""Monthly reporting, claims handling procedures"",""emailSubject"":""Marine Cargo Slip - International Shipping Routes""}",{}
SUB-1753101586689-y30am7ta,Real AI Test Case,submission,pending_approval,2,7,UW-2025-001,2025-07-21T12:39:46.690Z,2025-07-21T12:45:35.654Z,{},{}
SLI-1753101751389-xgrdfplg,Real AI Slip Processing,slip,completed,6,6,SLP-2025-001,2025-07-21T12:42:31.390Z,2025-07-21T12:43:36.922Z,"{""slipId"":""SLP-2025-001"",""token"":""slip_token_001"",""slipReference"":""LMX/2025/001"",""lloydSyndicate"":""Syndicate 623"",""leadUnderwriter"":""James Wilson"",""underwriterEmail"":""cargo@marine.com"",""riskCategory"":""Marine Cargo"",""policyInceptionDate"":""01/04/2025"",""policyExpiryDate"":""31/03/2026"",""coverageTerritory"":""Worldwide"",""currency"":""USD"",""policyLimits"":""$50,000,000"",""deductible"":""$25,000"",""premiumAmount"":""$485,000"",""brokerageRate"":""15%"",""totalSumInsured"":""$50,000,000"",""riskLocation"":""International Shipping Routes"",""businessDescription"":""Marine cargo insurance for international shipping operations"",""yearsTrading"":""25"",""annualTurnover"":""$125,000,000"",""numberOfEmployees"":""450"",""previousClaims"":""2 claims in last 5 years - weather related"",""riskImprovements"":""Enhanced GPS tracking, improved packaging protocols"",""securityMeasures"":""24/7 monitoring, secure warehousing facilities"",""complianceCertifications"":""ISO 9001, IMO compliance"",""financialRating"":""A+ (Standard & Poor's)"",""reinsuranceArrangements"":""75% quota share with Munich Re"",""exclusions"":""War risks, nuclear perils, cyber attacks"",""warranties"":""Proper packaging, approved routes only"",""conditions"":""Monthly reporting, claims handling procedures"",""emailSubject"":""Marine Cargo Slip - International Shipping Routes""}",{}
SLI-1753101860070-vp6kfbpx,Fresh AI Test - Real Responses,slip,pending_data_extraction,1,6,SLP-2025-002,2025-07-21T12:44:20.070Z,2025-07-21T12:44:27.188Z,{},{}
SUB-1753103909747-q9dewqqq,Real AI Test Case,submission,pending_approval,6,7,UW-2025-001,2025-07-21T13:18:29.747Z,2025-07-21T13:24:23.841Z,{},{}
SLI-1753109424161-jx1j6tll,Real AI Slip Processing,slip,completed,6,6,SLP-2025-001,2025-07-21T14:50:24.161Z,2025-07-21T14:52:04.641Z,"{""slipId"":""SLP-2025-001"",""token"":""slip_token_001"",""slipReference"":""LMX/2025/001"",""lloydSyndicate"":""Syndicate 623"",""leadUnderwriter"":""James Wilson"",""underwriterEmail"":""cargo@marine.com"",""riskCategory"":""Marine Cargo"",""policyInceptionDate"":""01/04/2025"",""policyExpiryDate"":""31/03/2026"",""coverageTerritory"":""Worldwide"",""currency"":""USD"",""policyLimits"":""$50,000,000"",""deductible"":""$25,000"",""premiumAmount"":""$485,000"",""brokerageRate"":""15%"",""totalSumInsured"":""$50,000,000"",""riskLocation"":""International Shipping Routes"",""businessDescription"":""Marine cargo insurance for international shipping operations"",""yearsTrading"":""25"",""annualTurnover"":""$125,000,000"",""numberOfEmployees"":""450"",""previousClaims"":""2 claims in last 5 years - weather related"",""riskImprovements"":""Enhanced GPS tracking, improved packaging protocols"",""securityMeasures"":""24/7 monitoring, secure warehousing facilities"",""complianceCertifications"":""ISO 9001, IMO compliance"",""financialRating"":""A+ (Standard & Poor's)"",""reinsuranceArrangements"":""75% quota share with Munich Re"",""exclusions"":""War risks, nuclear perils, cyber attacks"",""warranties"":""Proper packaging, approved routes only"",""conditions"":""Monthly reporting, claims handling procedures"",""emailSubject"":""Marine Cargo Slip - International Shipping Routes""}",{}
SLI-1753111280969-9d7nizjg,Real AI Slip Processing,slip,completed,6,6,SLP-2025-001,2025-07-21T15:21:20.969Z,2025-07-22T16:05:46.120Z,"{""slipId"":""SLP-2025-001"",""token"":""slip_token_001"",""slipReference"":""LMX/2025/001"",""lloydSyndicate"":""Syndicate 623"",""leadUnderwriter"":""James Wilson"",""underwriterEmail"":""cargo@marine.com"",""riskCategory"":""Marine Cargo"",""policyInceptionDate"":""01/04/2025"",""policyExpiryDate"":""31/03/2026"",""coverageTerritory"":""Worldwide"",""currency"":""USD"",""policyLimits"":""$50,000,000"",""deductible"":""$25,000"",""premiumAmount"":""$485,000"",""brokerageRate"":""15%"",""totalSumInsured"":""$50,000,000"",""riskLocation"":""International Shipping Routes"",""businessDescription"":""Marine cargo insurance for international shipping operations"",""yearsTrading"":""25"",""annualTurnover"":""$125,000,000"",""numberOfEmployees"":""450"",""previousClaims"":""2 claims in last 5 years - weather related"",""riskImprovements"":""Enhanced GPS tracking, improved packaging protocols"",""securityMeasures"":""24/7 monitoring, secure warehousing facilities"",""complianceCertifications"":""ISO 9001, IMO compliance"",""financialRating"":""A+ (Standard & Poor's)"",""reinsuranceArrangements"":""75% quota share with Munich Re"",""exclusions"":""War risks, nuclear perils, cyber attacks"",""warranties"":""Proper packaging, approved routes only"",""conditions"":""Monthly reporting, claims handling procedures"",""emailSubject"":""Marine Cargo Slip - International Shipping Routes""}",{}
SLI-1753200315171-r92ava57,Real AI Slip Processing,slip,completed,6,6,SLP-2025-001,2025-07-22T16:05:15.172Z,2025-07-22T16:06:40.570Z,"{""slipId"":""SLP-2025-001"",""token"":""slip_token_001"",""slipReference"":""LMX/2025/001"",""lloydSyndicate"":""Syndicate 623"",""leadUnderwriter"":""James Wilson"",""underwriterEmail"":""cargo@marine.com"",""riskCategory"":""Marine Cargo"",""policyInceptionDate"":""01/04/2025"",""policyExpiryDate"":""31/03/2026"",""coverageTerritory"":""Worldwide"",""currency"":""USD"",""policyLimits"":""$50,000,000"",""deductible"":""$25,000"",""premiumAmount"":""$485,000"",""brokerageRate"":""15%"",""totalSumInsured"":""$50,000,000"",""riskLocation"":""International Shipping Routes"",""businessDescription"":""Marine cargo insurance for international shipping operations"",""yearsTrading"":""25"",""annualTurnover"":""$125,000,000"",""numberOfEmployees"":""450"",""previousClaims"":""2 claims in last 5 years - weather related"",""riskImprovements"":""Enhanced GPS tracking, improved packaging protocols"",""securityMeasures"":""24/7 monitoring, secure warehousing facilities"",""complianceCertifications"":""ISO 9001, IMO compliance"",""financialRating"":""A+ (Standard & Poor's)"",""reinsuranceArrangements"":""75% quota share with Munich Re"",""exclusions"":""War risks, nuclear perils, cyber attacks"",""warranties"":""Proper packaging, approved routes only"",""conditions"":""Monthly reporting, claims handling procedures"",""emailSubject"":""Marine Cargo Slip - International Shipping Routes""}",{}
JIR-1753201929942-wzt29qyx,Marine Cargo Insurance - HIS-90,jira,completed,7,7,HIS-90,2025-07-22T16:32:09.942Z,2025-07-22T16:33:20.759Z,{},{}
SLI-1753202298172-w3ywhlmo,Lloyd's Slip Processing,slip,pending_data_extraction,1,6,SLP-2025-001,2025-07-22T16:38:18.173Z,2025-07-22T16:38:25.374Z,{},{}
JIR-1753202422046-am19pnf0,12312321 - property case,jira,pending_data_extraction,4,7,HIS-89,2025-07-22T16:40:22.047Z,2025-07-22T18:23:11.256Z,{},{}
JIR-1753202590793-efhurg37,PF345423423 - Marine Case,jira,completed,7,7,HIS-88,2025-07-22T16:43:10.794Z,2025-07-22T16:44:14.147Z,{},{}
JIR-1753202999370-lz5kec7d,32423-marine,jira,running,2,7,HIS-90,2025-07-22T16:49:59.371Z,2025-07-22T16:50:22.305Z,{},{}
JIR-1753203116440-7h2oqrji,Test Jira Workflow,jira,completed,7,7,HIS-90,2025-07-22T16:51:56.440Z,2025-07-22T16:52:56.648Z,{},{}
JIR-1753203168533-38p5itnj,Test Data Extraction Approval,jira,running,6,7,HIS-88,2025-07-22T16:52:48.534Z,2025-07-22T16:53:41.025Z,{},{}
JIR-1753203236879-owco7h2z,Test Approval Fix,jira,pending_data_extraction,1,7,HIS-87,2025-07-22T16:53:56.880Z,2025-07-22T16:54:07.366Z,{},{}
JIR-1753203407259-97lqgcrz,32423-marine,jira,completed,7,7,HIS-90,2025-07-22T16:56:47.259Z,2025-07-22T17:01:33.055Z,"{""slipId"":""SLP-2025-001"",""token"":""slip_token_001"",""slipReference"":""LMX/2025/001"",""lloydSyndicate"":""Syndicate 623"",""leadUnderwriter"":""James Wilson"",""underwriterEmail"":""cargo@marine.com"",""riskCategory"":""Marine Cargo"",""policyInceptionDate"":""01/04/2025"",""policyExpiryDate"":""31/03/2026"",""coverageTerritory"":""Worldwide"",""currency"":""USD"",""policyLimits"":""$50,000,000"",""deductible"":""$25,000"",""premiumAmount"":""$485,000"",""brokerageRate"":""15%"",""totalSumInsured"":""$50,000,000"",""riskLocation"":""International Shipping Routes"",""businessDescription"":""Marine cargo insurance for international shipping operations"",""yearsTrading"":""25"",""annualTurnover"":""$125,000,000"",""numberOfEmployees"":""450"",""previousClaims"":""2 claims in last 5 years - weather related"",""riskImprovements"":""Enhanced GPS tracking, improved packaging protocols"",""securityMeasures"":""24/7 monitoring, secure warehousing facilities"",""complianceCertifications"":""ISO 9001, IMO compliance"",""financialRating"":""A+ (Standard & Poor's)"",""reinsuranceArrangements"":""75% quota share with Munich Re"",""exclusions"":""War risks, nuclear perils, cyber attacks"",""warranties"":""Proper packaging, approved routes only"",""conditions"":""Monthly reporting, claims handling procedures"",""emailSubject"":""Marine Cargo Slip - International Shipping Routes""}",{}
JIR-1753203912301-9l15m97m,32423-marine,jira,completed,7,7,HIS-90,2025-07-22T17:05:12.302Z,2025-07-22T17:29:21.019Z,"{""slipId"":""HIS-90"",""token"":""jira_token_090"",""slipReference"":""JIR/2025/090"",""lloydSyndicate"":""Syndicate 445"",""leadUnderwriter"":""Maritime Underwriter"",""underwriterEmail"":""marine@lloyds.com"",""riskCategory"":""Marine Cargo"",""policyInceptionDate"":""15/08/2025"",""policyExpiryDate"":""14/08/2026"",""coverageTerritory"":""Worldwide"",""currency"":""GBP"",""policyLimits"":""£750000"",""deductible"":""£5000"",""premiumAmount"":""£8250"",""brokerageRate"":""12%"",""totalSumInsured"":""£750000"",""riskLocation"":""Southampton to Hamburg"",""businessDescription"":""Marine cargo insurance for electronics shipment"",""yearsTrading"":""8"",""annualTurnover"":""£2500000"",""numberOfEmployees"":""45"",""previousClaims"":""None in last 3 years"",""riskImprovements"":""Enhanced cargo tracking secure packaging"",""securityMeasures"":""24/7 vessel monitoring GPS tracking"",""complianceCertifications"":""IMO compliance ISM certification"",""financialRating"":""A (Lloyd's)"",""reinsuranceArrangements"":""60% quota share with Munich Re"",""exclusions"":""War risks piracy cyber attacks"",""warranties"":""Proper packaging approved routes only"",""conditions"":""Weekly voyage reports cargo manifest updates"",""emailSubject"":""Marine Cargo Insurance - Electronics Shipment MV Ocean Carrier""}",{}
JIR-1753206598452-2i5fsan5,PF345423423 - Marine Case,jira,completed,7,7,HIS-88,2025-07-22T17:49:58.452Z,2025-07-22T17:51:03.507Z,"{""slipId"":""HIS-88"",""token"":""jira_token_088"",""slipReference"":""JIR/2025/088"",""lloydSyndicate"":""Syndicate 512"",""leadUnderwriter"":""Property Underwriter"",""underwriterEmail"":""property@lloyds.com"",""riskCategory"":""Property Insurance"",""policyInceptionDate"":""01/09/2025"",""policyExpiryDate"":""31/08/2026"",""coverageTerritory"":""UK"",""currency"":""GBP"",""policyLimits"":""£2450000"",""deductible"":""£10000"",""premiumAmount"":""£15750"",""brokerageRate"":""10%"",""totalSumInsured"":""£2450000"",""riskLocation"":""Oceanview Commercial District"",""businessDescription"":""Commercial warehouse property insurance"",""yearsTrading"":""15"",""annualTurnover"":""£8500000"",""numberOfEmployees"":""125"",""previousClaims"":""1 claim in last 5 years - minor flood"",""riskImprovements"":""Enhanced drainage improved security"",""securityMeasures"":""24/7 security cameras flood defenses"",""complianceCertifications"":""Building regulations compliance fire safety"",""financialRating"":""A+ (Standard & Poor's)"",""reinsuranceArrangements"":""50% quota share with Swiss Re"",""exclusions"":""Flood beyond design limits earthquake terrorism"",""warranties"":""Regular maintenance inspections fire safety audits"",""conditions"":""Monthly property reports immediate loss notification"",""emailSubject"":""Commercial Property Insurance - Oceanview Warehouse""}",{}
JIR-1753206782052-4b7ljl72,PF345423423 - Marine Case,jira,completed,7,7,HIS-88,2025-07-22T17:53:02.053Z,2025-07-22T17:55:07.007Z,"{""slipId"":""HIS-88"",""token"":""jira_token_088"",""slipReference"":""JIR/2025/088"",""lloydSyndicate"":""Syndicate 512"",""leadUnderwriter"":""Property Underwriter"",""underwriterEmail"":""property@lloyds.com"",""riskCategory"":""Property Insurance"",""policyInceptionDate"":""01/09/2025"",""policyExpiryDate"":""31/08/2026"",""coverageTerritory"":""UK"",""currency"":""GBP"",""policyLimits"":""£2450000"",""deductible"":""£10000"",""premiumAmount"":""£15750"",""brokerageRate"":""10%"",""totalSumInsured"":""£2450000"",""riskLocation"":""Oceanview Commercial District"",""businessDescription"":""Commercial warehouse property insurance"",""yearsTrading"":""15"",""annualTurnover"":""£8500000"",""numberOfEmployees"":""125"",""previousClaims"":""1 claim in last 5 years - minor flood"",""riskImprovements"":""Enhanced drainage improved security"",""securityMeasures"":""24/7 security cameras flood defenses"",""complianceCertifications"":""Building regulations compliance fire safety"",""financialRating"":""A+ (Standard & Poor's)"",""reinsuranceArrangements"":""50% quota share with Swiss Re"",""exclusions"":""Flood beyond design limits earthquake terrorism"",""warranties"":""Regular maintenance inspections fire safety audits"",""conditions"":""Monthly property reports immediate loss notification"",""emailSubject"":""Commercial Property Insurance - Oceanview Warehouse""}",{}
JIR-1753208583702-5iw2aa4m,12312321 - property case,jira,pending_data_extraction,2,7,HIS-89,2025-07-22T18:23:03.703Z,2025-07-22T18:23:22.703Z,{},{}
JIR-1753233268678-qob6vsa7,32423-marine,jira,completed,7,7,HIS-90,2025-07-23T01:14:28.678Z,2025-07-23T04:28:44.186Z,"{""slipId"":""HIS-90"",""token"":""jira_token_090"",""slipReference"":""JIR/2025/090"",""lloydSyndicate"":""Syndicate 445"",""leadUnderwriter"":""Maritime Underwriter"",""underwriterEmail"":""marine@lloyds.com"",""riskCategory"":""Marine Cargo"",""policyInceptionDate"":""15/08/2025"",""policyExpiryDate"":""14/08/2026"",""coverageTerritory"":""Worldwide"",""currency"":""GBP"",""policyLimits"":""£750000"",""deductible"":""£5000"",""premiumAmount"":""£8250"",""brokerageRate"":""12%"",""totalSumInsured"":""£750000"",""riskLocation"":""Southampton to Hamburg"",""businessDescription"":""Marine cargo insurance for electronics shipment"",""yearsTrading"":""8"",""annualTurnover"":""£2500000"",""numberOfEmployees"":""45"",""previousClaims"":""None in last 3 years"",""riskImprovements"":""Enhanced cargo tracking secure packaging"",""securityMeasures"":""24/7 vessel monitoring GPS tracking"",""complianceCertifications"":""IMO compliance ISM certification"",""financialRating"":""A (Lloyd's)"",""reinsuranceArrangements"":""60% quota share with Munich Re"",""exclusions"":""War risks piracy cyber attacks"",""warranties"":""Proper packaging approved routes only"",""conditions"":""Weekly voyage reports cargo manifest updates"",""emailSubject"":""Marine Cargo Insurance - Electronics Shipment MV Ocean Carrier""}",{}
SUB-1753239919306-bmxqog25,Test Insurance Workflow,submission,pending_data_extraction,1,7,UW-2025-TEST,2025-07-23T03:05:19.307Z,2025-07-23T03:06:04.032Z,{},{}
